Day,Confirmed,Deaths,Recovered,Active,Incident_Rate,Case_Fatality_Ratio
2020-11-13,1003,48,813.0,142.0,588.2732450043695,4.785643070787637
2020-11-13,1128683,45053,0.0,1083630.0,2016.326289989496,3.991643357789565
2020-11-13,15,0,13.0,2.0,430.66322136089576,0.0
2020-11-13,876,1,729.0,146.0,2600.100917158885,0.1141552511415525
2020-11-13,363,25,329.0,9.0,426.89810894721984,6.887052341597796
2020-11-13,13,1,12.0,0.0,260.05201040208044,7.6923076923076925
2020-11-13,45848,836,0.0,45012.0,2436.649659863945,1.8234165067178505
2020-11-13,2,0,2.0,0.0,,
2020-11-13,79017,3244,0.0,75773.0,1446.3236505408815,4.105445663591379
2020-11-13,716,6,695.0,15.0,1849.269073815796,0.8379888268156425
2020-11-13,0,0,0.0,0.0,,
2020-11-13,63948,2171,0.0,61777.0,2037.468935194036,3.3949458935385
2020-11-14,3,0,3.0,0.0,19.99733368884149,0.0
