Day,Confirmed,Deaths,Recovered,Active,Incident_Rate,Case_Fatality_Ratio
2020-12-04,1452137,53025,0.0,1399112.0,2594.157978605575,3.651514974138115
2020-12-05,1464803,53369,0.0,1411434.0,2616.785048198195,3.643425088561397
2020-12-06,1479097,53570,0.0,1425527.0,2642.3204447525063,3.621804384702288
2020-12-07,1490720,53747,0.0,1436973.0,2663.084255732691,3.605438982505098
2020-12-08,1501179,54285,0.0,1446894.0,2681.768648664099,3.6161577000477614
2020-12-09,1514139,54736,0.0,1459403.0,2704.920932093781,3.6149917543897887
2020-12-10,1531761,55155,0.0,1476606.0,2736.401606368307,3.600757559436492
2020-12-11,1549660,55508,0.0,1494152.0,2768.37712497231,3.581947007730728
2020-12-12,1567128,55948,0.0,1511180.0,2799.582687236946,3.570097656349705
2020-12-13,1584292,56086,0.0,1528206.0,2830.245171248294,3.54013022851848
2020-12-14,1602174,56280,0.0,1545894.0,2862.190320344712,3.512727082077228
2020-12-15,1618678,56747,0.0,1561931.0,2891.673752885103,3.505762109573368
2020-12-16,1642110,57284,0.0,1584826.0,2933.5336529872875,3.488438655144905
2020-12-17,1664511,57722,0.0,1606789.0,2973.551731776509,3.467805259322408
2020-12-18,1688963,58125,0.0,1630838.0,3017.2338023338075,3.44146082537036
2020-12-19,1711738,58566,0.0,1653172.0,3057.9200102899035,3.4214348223852014
2020-12-20,1743893,58807,0.0,1685086.0,3115.363040666557,3.3721679025031928
2020-12-21,1772635,59005,0.0,1713630.0,3166.7089457850702,3.3286604405306224
2020-12-22,1804923,59613,0.0,1745310.0,3224.389572897537,3.302800174855105
2020-12-23,1839170,60238,0.0,1778932.0,3285.5698391487963,3.2752817847181066
2020-12-24,1874731,60706,0.0,1814025.0,3349.097489692232,3.238117895314048
2020-12-25,1906291,61276,0.0,1845015.0,3405.4775873034027,3.214409552371595
2020-12-26,1937598,61451,0.0,1876147.0,3461.4057151840398,3.171504099405553
2020-12-27,1963217,61697,0.0,1901520.0,3507.1725631149825,3.142648010892326
2020-12-28,1999728,62019,0.0,1937709.0,3572.397333199945,3.1013717865629724
2020-12-29,2046892,62379,0.0,1984513.0,3656.653065891113,3.04749835360146
2020-12-30,2090446,63298,0.0,2027148.0,3734.4597443244734,3.027966280879774
2020-12-31,2139956,64118,0.0,2075838.0,3822.906469062404,2.996229829024522
2021-01-01,2190702,64731,0.0,2125971.0,3913.561235645942,2.9548062675799813
2021-01-02,2239950,65080,0.0,2174870.0,4001.539912678733,2.905421996026697
2021-01-03,2286803,65472,0.0,2221331.0,4085.240062025253,2.8630363000223458
2021-01-04,2339983,65842,0.0,2274141.0,4180.243027518347,2.813781125760315
2021-01-05,2394923,66626,0.0,2328297.0,4278.390130267323,2.781968355558822
2021-01-06,2450983,67510,0.0,2383473.0,4378.53804763368,2.754405069313006
2021-01-07,2497824,68514,0.0,2429310.0,4462.2167596807285,2.742947461470464
2021-01-08,2559581,69670,0.0,2489911.0,4572.542034971381,2.7219298783668107
2021-01-09,2613838,70541,0.0,2543297.0,4669.468998092079,2.6987517971657
2021-01-10,2664129,71039,0.0,2593090.0,4759.310933737307,2.66650000807018
2021-01-11,2705964,71534,0.0,2634430.0,4834.046719021316,2.643568059294211
2021-01-12,2747085,72685,0.0,2674400.0,4907.506984986745,2.645895558382795
2021-01-13,2789983,74085,0.0,2715898.0,4984.141757715642,2.655392523897099
2021-01-14,2834341,75199,0.0,2759142.0,5063.384735213623,2.6531387719402852
2021-01-15,2885082,76338,0.0,2808744.0,5154.030569589047,2.645955990159032
2021-01-16,2922841,77478,0.0,2845363.0,5221.484818819091,2.650777103509907
