,Day,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio
116,2021-03-05,United Kingdom,2021-03-06 04:23:41,52.3555,-1.1743,3684724,109406,0.0,3575318.0,"England, United Kingdom",6582.544321616659,2.969177610046234
117,2021-03-06,United Kingdom,2021-03-07 05:21:54,52.3555,-1.1743,3689842,109541,0.0,3580301.0,"England, United Kingdom",6591.687329841436,2.9687179017421337
118,2021-03-07,United Kingdom,2021-03-08 05:24:48,52.3555,-1.1743,3694339,109602,0.0,3584737.0,"England, United Kingdom",6599.72095781854,2.9667553519046304
119,2021-03-08,United Kingdom,2021-03-09 05:28:19,52.3555,-1.1743,3698242,109664,0.0,3588578.0,"England, United Kingdom",6606.693439471785,2.9653008104932015
120,2021-03-09,United Kingdom,2021-03-10 05:24:35,52.3555,-1.1743,3703136,109871,0.0,3593265.0,"England, United Kingdom",6615.436284773086,2.966971777434045
121,2021-03-10,United Kingdom,2021-03-11 05:25:48,52.3555,-1.1743,3707999,110027,0.0,3597972.0,"England, United Kingdom",6624.123750384085,2.96728774738073
122,2021-03-11,United Kingdom,2021-03-12 05:26:50,52.3555,-1.1743,3713743,110165,0.0,3603578.0,"England, United Kingdom",6634.385071064648,2.9664142079836973
123,2021-03-12,United Kingdom,2021-03-13 05:25:15,52.3555,-1.1743,3719272,110310,0.0,3608962.0,"England, United Kingdom",6644.26230679634,2.965903004674033
124,2021-03-13,United Kingdom,2021-03-14 05:25:37,52.3555,-1.1743,3723811,110416,0.0,3613395.0,"England, United Kingdom",6652.370965321596,2.9651343744352223
125,2021-03-14,United Kingdom,2021-03-15 05:25:51,52.3555,-1.1743,3727585,110456,0.0,3617129.0,"England, United Kingdom",6659.112996005518,2.9632053997427286
126,2021-03-15,United Kingdom,2021-03-16 05:25:13,52.3555,-1.1743,3731849,110517,0.0,3621332.0,"England, United Kingdom",6666.730383084541,2.9614542281855454
127,2021-03-16,United Kingdom,2021-03-17 05:25:07,52.3555,-1.1743,3736240,110618,0.0,3625622.0,"England, United Kingdom",6674.574648249643,2.9606770443012227
128,2021-03-17,United Kingdom,2021-03-18 05:26:22,52.3555,-1.1743,3741067,110739,0.0,3630328.0,"England, United Kingdom",6683.1978019622275,2.960091332232221
129,2021-03-18,United Kingdom,2021-03-19 05:26:09,52.3555,-1.1743,3746280,110822,0.0,3635458.0,"England, United Kingdom",6692.510522141159,2.958187855686174
130,2021-03-19,United Kingdom,2021-03-20 05:25:46,52.3555,-1.1743,3750089,110903,0.0,3639186.0,"England, United Kingdom",6699.315078281873,2.957343145722674
131,2021-03-20,United Kingdom,2021-03-21 05:25:44,52.3555,-1.1743,3754821,110985,0.0,3643836.0,"England, United Kingdom",6707.768520040301,2.9558000234898016
132,2021-03-21,United Kingdom,2021-03-22 05:25:43,52.3555,-1.1743,3759280,111011,0.0,3648269.0,"England, United Kingdom",6715.734263235746,2.9529856781085737
133,2021-03-22,United Kingdom,2021-03-23 05:26:18,52.3555,-1.1743,3764026,111027,0.0,3652999.0,"England, United Kingdom",6724.212715176895,2.9496873826057524
134,2021-03-23,United Kingdom,2021-03-24 05:25:40,52.3555,-1.1743,3768609,111130,0.0,3657479.0,"England, United Kingdom",6732.399977133548,2.948833375921992
135,2021-03-24,United Kingdom,2021-03-25 05:27:00,52.3555,-1.1743,3773224,111222,0.0,3662002.0,"England, United Kingdom",6740.644405222127,2.947664914672439
136,2021-03-25,United Kingdom,2021-03-26 05:26:55,52.3555,-1.1743,3778510,111271,0.0,3667239.0,"England, United Kingdom",6750.087535639511,2.9448380446260565
137,2021-03-26,United Kingdom,2021-03-27 05:25:04,52.3555,-1.1743,3783783,111332,0.0,3672451.0,"England, United Kingdom",6759.507442315799,2.9423463237717384
138,2021-03-27,United Kingdom,2021-03-28 05:28:10,52.3555,-1.1743,3786746,111375,0.0,3675371.0,"England, United Kingdom",6764.800668843744,2.9411795773996987
139,2021-03-28,United Kingdom,2021-03-29 04:28:35,52.3555,-1.1743,3789899,111392,0.0,3678507.0,"England, United Kingdom",6770.433319279991,2.9391812288401358
